Numero de Documento,Expediente,Placa,Vigencia,Nombre Completo,SADE,Valor Embargo,Fecha Generacion MP
1000000047,076-2021-000047,ABV047,2021,JORGE LILIANA SALAZAR MEDINA,SADE-0000047,4500000,2021-08-27
1000000048,076-2015-000048,ABW048,2015,ADRIANA CATALINA SANCHEZ GOMEZ,SADE-0000048,14600000,2015-05-22
1000000049,076-2008-000049,ABX049,2008,DIEGO WILLIAM MARTINEZ HERRERA,SADE-0000049,14600000,2008-03-09
1000000050,076-2011-000050,ABY050,2011,ALEJANDRO MONICA CORREA PENA,SADE-0000050,7200000,2011-09-16
1000000051,076-2011-000051,ABZ051,2011,LUISA ANA BERMUDEZ NAVARRO,SADE-0000051,1600000,2011-01-11
1000000052,076-2019-000052,ACA052,2019,DIEGO WILLIAM JIMENEZ PRADA,SADE-0000052,14600000,2019-12-14
1000000053,076-2015-000053,ACB053,2015,JUAN SANDRA TORRES MORALES,SADE-0000053,14400000,2015-01-27
1000000054,076-2012-000054,ACC054,2012,PATRICIA ALEXANDRA MORALES BERMUDEZ,SADE-0000054,3700000,2012-01-10
1000000055,076-2012-000055,ACD055,2012,CARLOS RODRIGO PENA ACOSTA,SADE-0000055,3100000,2012-06-25
1000000056,076-2015-000056,ACE056,2015,CAMILO CATALINA MORALES ACOSTA,SADE-0000056,4600000,2015-03-14
1000000057,076-2007-000057,ACF057,2007,GLORIA NUBIA QUINTERO ACOSTA,SADE-0000057,7300000,2007-03-26
1000000058,076-2018-000058,ACG058,2018,PEDRO ALVARO RUIZ CUELLAR,SADE-0000058,6100000,2018-04-27
1000000059,076-2021-000059,ACH059,2021,SOFIA RODRIGO CARDENAS RIOS,SADE-0000059,6200000,2021-01-22
1000000060,076-2010-000060,ACI060,2010,PAOLA NUBIA NAVARRO TORRES,SADE-0000060,7600000,2010-06-21
1000000061,076-2015-000061,ACJ061,2015,PAOLA ESPERANZA CORREA LOPEZ,SADE-0000061,3400000,2015-05-06
1000000062,076-2016-000062,ACK062,2016,WILLIAM CARLOS HERRERA REYES,SADE-0000062,11600000,2016-06-24
1000000063,076-2019-000063,ACL063,2019,GERMAN DIANA REYES BUITRAGO,SADE-0000063,3400000,2019-07-19
1000000064,076-2010-000064,ACM064,2010,WILLIAM CARLOS BERMUDEZ GOMEZ,SADE-0000064,13800000,2010-09-22
1000000065,076-2018-000065,ACN065,2018,RICARDO BEATRIZ BERMUDEZ TORRES,SADE-0000065,8900000,2018-10-11
1000000066,076-2017-000066,ACO066,2017,SANDRA ADRIANA BUITRAGO CARDENAS,SADE-0000066,10900000,2017-06-13
1000000067,076-2018-000067,ACP067,2018,OSCAR ALEXANDRA CASTRO VARGAS,SADE-0000067,11200000,2018-11-13
1000000068,076-2017-000068,ACQ068,2017,GLORIA CATALINA CASTILLO CARDENAS,SADE-0000068,10800000,2017-09-27
1000000069,076-2007-000069,ACR069,2007,ADRIANA OSCAR PENA BERMUDEZ,SADE-0000069,8700000,2007-08-15
1000000070,076-2014-000070,ACS070,2014,MONICA VALENTINA CUELLAR JIMENEZ,SADE-0000070,2600000,2014-05-17
1000000071,076-2017-000071,ACT071,2017,CATALINA NUBIA RAMIREZ ACOSTA,SADE-0000071,8400000,2017-04-26
1000000072,076-2010-000072,ACU072,2010,CLAUDIA MARIA RUIZ ACOSTA,SADE-0000072,12600000,2010-10-28
1000000073,076-2019-000073,ACV073,2019,JORGE SOFIA QUINTERO CASTILLO,SADE-0000073,5400000,2019-12-23
1000000074,076-2013-000074,ACW074,2013,FELIPE PAOLA ACOSTA MORALES,SADE-0000074,600000,2013-02-25
1000000075,076-2013-000075,ACX075,2013,FABIO GLORIA SANCHEZ BELTRAN,SADE-0000075,1700000,2013-09-08
1000000076,076-2021-000076,ACY076,2021,SANDRA SOFIA CASTRO BELTRAN,SADE-0000076,14000000,2021-09-20
1000000077,076-2012-000077,ACZ077,2012,JULIAN CATALINA BUITRAGO BERMUDEZ,SADE-0000077,14500000,2012-08-06
1000000078,076-2018-000078,ADA078,2018,ANDRES JULIAN ORTIZ ACOSTA,SADE-0000078,7500000,2018-09-16
1000000079,076-2017-000079,ADB079,2017,LILIANA YOLANDA PRADA TORRES,SADE-0000079,7800000,2017-04-09
1000000080,076-2012-000080,ADC080,2012,GERMAN ESPERANZA RAMIREZ CASTRO,SADE-0000080,4300000,2012-04-13
1000000081,076-2018-000081,ADD081,2018,CLAUDIA MONICA TORRES QUINTERO,SADE-0000081,10900000,2018-06-18
1000000082,076-2014-000082,ADE082,2014,CAMILO LUISA PENA QUINTERO,SADE-0000082,10400000,2014-10-23
1000000083,076-2007-000083,ADF083,2007,FERNANDO ALVARO CUELLAR GOMEZ,SADE-0000083,9500000,2007-05-25
1000000084,076-2013-000084,ADG084,2013,CAMILO ESPERANZA ROMERO REYES,SADE-0000084,6100000,2013-08-08
1000000085,076-2011-000085,ADH085,2011,DIANA FELIPE LOPEZ MONTOYA,SADE-0000085,9100000,2011-11-22
1000000086,076-2019-000086,ADI086,2019,PAOLA HERNANDO BELTRAN CASTRO,SADE-0000086,14100000,2019-01-13
1000000087,076-2016-000087,ADJ087,2016,FERNANDO MARIA RAMIREZ BERMUDEZ,SADE-0000087,3900000,2016-08-06
1000000088,076-2007-000088,ADK088,2007,WILLIAM ALVARO GUTIERREZ PENA,SADE-0000088,12100000,2007-06-11
1000000089,076-2019-000089,ADL089,2019,ALVARO YOLANDA QUINTERO ORTIZ,SADE-0000089,2500000,2019-08-01
1000000090,076-2018-000090,ADM090,2018,ESPERANZA LUISA PALACIOS RIOS,SADE-0000090,2200000,2018-11-02
1000000091,076-2019-000091,ADN091,2019,MARIA LILIANA VARGAS LOPEZ,SADE-0000091,4400000,2019-04-05
1000000092,076-2014-000092,ADO092,2014,SANDRA FERNANDO PENA BELTRAN,SADE-0000092,7000000,2014-06-06
1000000093,076-2016-000093,ADP093,2016,ALEJANDRO SANDRA JIMENEZ CARDENAS,SADE-0000093,3200000,2016-10-01
1000000094,076-2021-000094,ADQ094,2021,ADRIANA FERNANDO MONTOYA RESTREPO,SADE-0000094,5500000,2021-02-19
1000000095,076-2018-000095,ADR095,2018,LILIANA PEDRO CARDENAS REYES,SADE-0000095,3500000,2018-10-26
1000000096,076-2007-000096,ADS096,2007,RODRIGO ESPERANZA BERMUDEZ SALAZAR,SADE-0000096,2200000,2007-09-21
1000000097,076-2012-000097,ADT097,2012,JUAN CAMILO GAVIRIA HERRERA,SADE-0000097,11500000,2012-06-21
1000000098,076-2021-000098,ADU098,2021,SOFIA CLAUDIA BERMUDEZ SUAREZ,SADE-0000098,13800000,2021-11-09
1000000099,076-2016-000099,ADV099,2016,ESPERANZA ANDRES BELTRAN BERMUDEZ,SADE-0000099,7300000,2016-06-28
1000000100,076-2010-000100,ADW100,2010,ANA YOLANDA PRADA ACOSTA,SADE-0000100,12300000,2010-10-20
1000000101,076-2017-000101,ADX101,2017,ALVARO NUBIA LOPEZ GAVIRIA,SADE-0000101,8800000,2017-03-16
1000000102,076-2010-000102,ADY102,2010,RODRIGO WILLIAM CORREA NAVARRO,SADE-0000102,7500000,2010-09-01
1000000103,076-2015-000103,ADZ103,2015,RICARDO ANA ACOSTA QUINTERO,SADE-0000103,13000000,2015-09-25
1000000104,076-2010-000104,AEA104,2010,ANDRES FELIPE PRADA LOPEZ,SADE-0000104,2800000,2010-05-08
1000000105,076-2013-000105,AEB105,2013,LILIANA ADRIANA ROJAS SALAZAR,SADE-0000105,12600000,2013-09-17
1000000106,076-2012-000106,AEC106,2012,DIANA ALEXANDRA CORREA PALACIOS,SADE-0000106,12100000,2012-05-10
1000000107,076-2011-000107,AED107,2011,FABIO SANDRA VARGAS GUTIERREZ,SADE-0000107,3500000,2011-12-18
1000000108,076-2019-000108,AEE108,2019,GLORIA RICARDO PENA CUELLAR,SADE-0000108,7500000,2019-12-19
1000000109,076-2019-000109,AEF109,2019,MAURICIO ALEJANDRO MEDINA HERRERA,SADE-0000109,5400000,2019-05-08
1000000110,076-2012-000110,AEG110,2012,GLORIA ADRIANA GOMEZ ROMERO,SADE-0000110,3700000,2012-05-02
1000000111,076-2007-000111,AEH111,2007,ALEXANDRA OSCAR CASTRO GAVIRIA,SADE-0000111,3100000,2007-01-19
1000000112,076-2011-000112,AEI112,2011,ANDRES ANDRES PRADA CORREA,SADE-0000112,5200000,2011-01-09
1000000113,076-2020-000113,AEJ113,2020,ANDRES SANDRA TORRES RESTREPO,SADE-0000113,13000000,2020-02-19
1000000114,076-2017-000114,AEK114,2017,LUISA CLAUDIA MORALES CASTILLO,SADE-0000114,8200000,2017-02-08
1000000115,076-2008-000115,AEL115,2008,ALEXANDRA CAMILO REYES REYES,SADE-0000115,6200000,2008-09-13
1000000116,076-2014-000116,AEM116,2014,JULIAN ADRIANA ROJAS BERMUDEZ,SADE-0000116,8300000,2014-10-20
1000000117,076-2007-000117,AEN117,2007,CATALINA PEDRO PENA PENA,SADE-0000117,7200000,2007-11-03
1000000118,076-2009-000118,AEO118,2009,LILIANA GLORIA MORENO TORRES,SADE-0000118,4500000,2009-01-14
1000000119,076-2014-000119,AEP119,2014,ALEJANDRO ANDRES MEDINA RUIZ,SADE-0000119,6400000,2014-05-23
1000000120,076-2011-000120,AEQ120,2011,SOFIA JORGE RIOS ORTIZ,SADE-0000120,5500000,2011-07-04
1000000121,076-2015-000121,AER121,2015,FABIO CLAUDIA NAVARRO MORALES,SADE-0000121,2300000,2015-01-06
1000000122,076-2019-000122,AES122,2019,ADRIANA ALEJANDRO CASTILLO MEDINA,SADE-0000122,11700000,2019-02-15
1000000123,076-2018-000123,AET123,2018,ADRIANA PAOLA NAVARRO BUITRAGO,SADE-0000123,14300000,2018-08-15
1000000124,076-2008-000124,AEU124,2008,ALEJANDRO CARLOS BERMUDEZ GUTIERREZ,SADE-0000124,6900000,2008-01-03
1000000125,076-2010-000125,AEV125,2010,FERNANDO PATRICIA LOPEZ NAVARRO,SADE-0000125,1500000,2010-03-16
1000000126,076-2015-000126,AEW126,2015,JULIAN YOLANDA SUAREZ ROJAS,SADE-0000126,11600000,2015-11-27
1000000127,076-2014-000127,AEX127,2014,ANA ANDRES PALACIOS QUINTERO,SADE-0000127,9000000,2014-06-22
1000000128,076-2008-000128,AEY128,2008,HERNANDO NUBIA QUINTERO GAVIRIA,SADE-0000128,7800000,2008-11-13
1000000129,076-2020-000129,AEZ129,2020,ALEXANDRA CARLOS BELTRAN RAMIREZ,SADE-0000129,8500000,2020-05-11
1000000130,076-2008-000130,AFA130,2008,PAOLA VALENTINA GOMEZ ROMERO,SADE-0000130,12300000,2008-07-02
1000000131,076-2010-000131,AFB131,2010,MAURICIO BEATRIZ AGUILAR GAVIRIA,SADE-0000131,11800000,2010-01-07
1000000132,076-2011-000132,AFC132,2011,ALEXANDRA DIEGO MEDINA PRADA,SADE-0000132,12900000,2011-02-01
1000000133,076-2017-000133,AFD133,2017,ALEJANDRO LILIANA JIMENEZ CARDENAS,SADE-0000133,14600000,2017-01-18
1000000134,076-2013-000134,AFE134,2013,ANA FABIO MARTINEZ BELTRAN,SADE-0000134,3500000,2013-11-27
1000000135,076-2009-000135,AFF135,2009,FELIPE OSCAR BUITRAGO NAVARRO,SADE-0000135,11100000,2009-08-16
1000000136,076-2010-000136,AFG136,2010,SOFIA ALEXANDRA MORALES MONTOYA,SADE-0000136,5300000,2010-10-17
1000000137,076-2018-000137,AFH137,2018,DIEGO JORGE NAVARRO QUINTERO,SADE-0000137,9200000,2018-09-09
1000000138,076-2020-000138,AFI138,2020,JUAN OSCAR CARDENAS ROJAS,SADE-0000138,13000000,2020-03-15
1000000139,076-2015-000139,AFJ139,2015,ANDRES RODRIGO CORREA MORENO,SADE-0000139,14400000,2015-07-15
1000000140,076-2021-000140,AFK140,2021,GERMAN RICARDO ACOSTA CASTILLO,SADE-0000140,10300000,2021-04-28
1000000141,076-2019-000141,AFL141,2019,CAMILO CARLOS GUTIERREZ CUELLAR,SADE-0000141,10200000,2019-07-22
1000000142,076-2019-000142,AFM142,2019,CLAUDIA FELIPE RUIZ CASTRO,SADE-0000142,13300000,2019-10-11
1000000143,076-2020-000143,AFN143,2020,PEDRO JULIAN HERRERA SANCHEZ,SADE-0000143,12100000,2020-01-24
1000000144,076-2009-000144,AFO144,2009,CAMILO CLAUDIA TORRES CUELLAR,SADE-0000144,7200000,2009-06-20
1000000145,076-2018-000145,AFP145,2018,PAOLA ANA CORREA ROMERO,SADE-0000145,10200000,2018-06-21
1000000146,076-2018-000146,AFQ146,2018,FELIPE ESPERANZA RUIZ AGUILAR,SADE-0000146,2200000,2018-04-21
1000000147,076-2017-000147,AFR147,2017,OSCAR FABIO RAMIREZ BERMUDEZ,SADE-0000147,3000000,2017-11-23
1000000148,076-2020-000148,AFS148,2020,PEDRO JULIAN JIMENEZ CARDENAS,SADE-0000148,1200000,2020-01-11
1000000149,076-2019-000149,AFT149,2019,LUISA OSCAR PALACIOS SALAZAR,SADE-0000149,11500000,2019-03-08
1000000150,076-2015-000150,AFU150,2015,CAMILO FERNANDO SUAREZ JIMENEZ,SADE-0000150,4900000,2015-02-20
1000000151,076-2020-000151,AFV151,2020,ALVARO CATALINA ACOSTA GAVIRIA,SADE-0000151,4100000,2020-04-15
1000000152,076-2017-000152,AFW152,2017,WILLIAM SOFIA ORTIZ GOMEZ,SADE-0000152,12400000,2017-05-22
1000000153,076-2015-000153,AFX153,2015,HERNANDO JORGE PRADA PALACIOS,SADE-0000153,8100000,2015-11-14
1000000154,076-2018-000154,AFY154,2018,WILLIAM SOFIA CARDENAS VARGAS,SADE-0000154,10300000,2018-08-04
1000000155,076-2010-000155,AFZ155,2010,ALVARO FERNANDO PALACIOS CASTILLO,SADE-0000155,8000000,2010-12-10
1000000156,076-2007-000156,AGA156,2007,PAOLA YOLANDA GOMEZ CASTILLO,SADE-0000156,1700000,2007-10-24
1000000157,076-2014-000157,AGB157,2014,OSCAR FABIO REYES PALACIOS,SADE-0000157,6100000,2014-11-07
1000000158,076-2016-000158,AGC158,2016,WILLIAM DIEGO HERRERA RUIZ,SADE-0000158,8400000,2016-08-02
1000000159,076-2016-000159,AGD159,2016,BEATRIZ DIEGO RAMIREZ MEDINA,SADE-0000159,8800000,2016-12-14
1000000160,076-2009-000160,AGE160,2009,RICARDO DIEGO ROMERO SALAZAR,SADE-0000160,14000000,2009-09-09
1000000161,076-2020-000161,AGF161,2020,HERNANDO WILLIAM CUELLAR MEDINA,SADE-0000161,9100000,2020-02-15
1000000162,076-2008-000162,AGG162,2008,CLAUDIA FABIO RESTREPO MORENO,SADE-0000162,9800000,2008-02-26
1000000163,076-2013-000163,AGH163,2013,JUAN WILLIAM ROMERO MARTINEZ,SADE-0000163,12100000,2013-06-22
1000000164,076-2018-000164,AGI164,2018,WILLIAM PATRICIA MONTOYA SALAZAR,SADE-0000164,3200000,2018-11-08
1000000165,076-2014-000165,AGJ165,2014,MARIA CATALINA MORENO GUTIERREZ,SADE-0000165,6100000,2014-11-03
1000000166,076-2017-000166,AGK166,2017,SOFIA ADRIANA QUINTERO MARTINEZ,SADE-0000166,4000000,2017-01-02
1000000167,076-2011-000167,AGL167,2011,FELIPE SANDRA HERRERA ACOSTA,SADE-0000167,14200000,2011-03-13
1000000168,076-2014-000168,AGM168,2014,BEATRIZ ESPERANZA QUINTERO ROJAS,SADE-0000168,4400000,2014-07-21
1000000169,076-2008-000169,AGN169,2008,FELIPE CATALINA QUINTERO NAVARRO,SADE-0000169,1300000,2008-12-12
1000000170,076-2010-000170,AGO170,2010,JULIAN JULIAN ACOSTA SALAZAR,SADE-0000170,3000000,2010-11-12
1000000171,076-2015-000171,AGP171,2015,RODRIGO LUISA RESTREPO NAVARRO,SADE-0000171,5300000,2015-02-28
1000000172,076-2020-000172,AGQ172,2020,SOFIA ANA PENA REYES,SADE-0000172,1000000,2020-01-26
1000000173,076-2012-000173,AGR173,2012,LILIANA DIEGO CASTILLO PENA,SADE-0000173,2200000,2012-09-07
1000000174,076-2016-000174,AGS174,2016,MONICA FABIO CORREA MORALES,SADE-0000174,500000,2016-05-28
1000000175,076-2009-000175,AGT175,2009,DIEGO ESPERANZA ORTIZ SUAREZ,SADE-0000175,3300000,2009-11-28
1000000176,076-2007-000176,AGU176,2007,DIEGO JUAN PALACIOS ACOSTA,SADE-0000176,8700000,2007-01-06
1000000177,076-2011-000177,AGV177,2011,LUISA DIEGO QUINTERO SANCHEZ,SADE-0000177,3400000,2011-12-03
1000000178,076-2014-000178,AGW178,2014,JULIAN BEATRIZ BUITRAGO ROJAS,SADE-0000178,3200000,2014-08-17
1000000179,076-2010-000179,AGX179,2010,CATALINA CARLOS SANCHEZ CARDENAS,SADE-0000179,12200000,2010-11-01
1000000180,076-2007-000180,AGY180,2007,ANDRES PAOLA BERMUDEZ HERRERA,SADE-0000180,13000000,2007-12-15
1000000181,076-2008-000181,AGZ181,2008,ANA GERMAN REYES MORALES,SADE-0000181,2100000,2008-03-09
1000000182,076-2016-000182,AHA182,2016,PATRICIA ALEXANDRA GUTIERREZ MONTOYA,SADE-0000182,14000000,2016-05-15
1000000183,076-2015-000183,AHB183,2015,ALEJANDRO DIANA HERRERA MARTINEZ,SADE-0000183,14600000,2015-12-28
1000000184,076-2010-000184,AHC184,2010,DIANA JULIAN RIOS QUINTERO,SADE-0000184,9100000,2010-08-13
1000000185,076-2013-000185,AHD185,2013,PEDRO GERMAN BERMUDEZ GUTIERREZ,SADE-0000185,7000000,2013-06-05
1000000186,076-2017-000186,AHE186,2017,ANDRES JORGE RAMIREZ RAMIREZ,SADE-0000186,2800000,2017-07-04
1000000187,076-2018-000187,AHF187,2018,BEATRIZ DIEGO MORENO DIAZ,SADE-0000187,14800000,2018-09-11
1000000188,076-2017-000188,AHG188,2017,SANDRA CAMILO PALACIOS BERMUDEZ,SADE-0000188,1800000,2017-05-20
1000000189,076-2011-000189,AHH189,2011,RODRIGO PEDRO CASTILLO BUITRAGO,SADE-0000189,5900000,2011-03-22
1000000190,076-2014-000190,AHI190,2014,FABIO PEDRO PALACIOS MORENO,SADE-0000190,9900000,2014-02-25
1000000191,076-2011-000191,AHJ191,2011,FERNANDO FABIO BERMUDEZ MORENO,SADE-0000191,14700000,2011-01-20
1000000192,076-2021-000192,AHK192,2021,YOLANDA MARIA SUAREZ NAVARRO,SADE-0000192,8400000,2021-06-12
1000000193,076-2007-000193,AHL193,2007,GLORIA CLAUDIA CASTILLO RESTREPO,SADE-0000193,2200000,2007-03-24
1000000194,076-2017-000194,AHM194,2017,MARIA ANA SANCHEZ PENA,SADE-0000194,10100000,2017-07-15
1000000195,076-2012-000195,AHN195,2012,HERNANDO BEATRIZ CARDENAS GUTIERREZ,SADE-0000195,2600000,2012-01-05
1000000196,076-2009-000196,AHO196,2009,CATALINA LUISA RAMIREZ NAVARRO,SADE-0000196,11800000,2009-11-14
1000000197,076-2014-000197,AHP197,2014,ALEJANDRO JULIAN QUINTERO NAVARRO,SADE-0000197,6000000,2014-09-04
1000000198,076-2012-000198,AHQ198,2012,DIANA SANDRA MEDINA ROJAS,SADE-0000198,12900000,2012-09-22
1000000199,076-2011-000199,AHR199,2011,CARLOS FABIO RESTREPO REYES,SADE-0000199,1900000,2011-01-07
1000000200,076-2011-000200,AHS200,2011,MONICA DIEGO ORTIZ MEDINA,SADE-0000200,8800000,2011-02-01
1000000201,076-2014-000201,AHT201,2014,DIANA GLORIA CASTRO MONTOYA,SADE-0000201,14100000,2014-12-08
1000000202,076-2015-000202,AHU202,2015,ALEXANDRA RODRIGO TORRES RESTREPO,SADE-0000202,1500000,2015-07-01
1000000203,076-2014-000203,AHV203,2014,JORGE GERMAN CASTILLO BERMUDEZ,SADE-0000203,10800000,2014-12-21
1000000204,076-2013-000204,AHW204,2013,OSCAR SANDRA RESTREPO LOPEZ,SADE-0000204,8800000,2013-03-26
1000000205,076-2016-000205,AHX205,2016,SOFIA BEATRIZ RAMIREZ BERMUDEZ,SADE-0000205,3200000,2016-04-14
1000000206,076-2016-000206,AHY206,2016,PAOLA MAURICIO RAMIREZ RESTREPO,SADE-0000206,8400000,2016-12-11
1000000207,076-2010-000207,AHZ207,2010,NUBIA HERNANDO TORRES BUITRAGO,SADE-0000207,3400000,2010-09-17
1000000208,076-2010-000208,AIA208,2010,RODRIGO RODRIGO MORALES ACOSTA,SADE-0000208,3100000,2010-03-09
1000000209,076-2010-000209,AIB209,2010,GLORIA ALEJANDRO MORALES TORRES,SADE-0000209,5000000,2010-11-16
1000000210,076-2014-000210,AIC210,2014,FERNANDO PATRICIA PRADA CASTILLO,SADE-0000210,8700000,2014-11-11
1000000211,076-2009-000211,AID211,2009,JULIAN JORGE CUELLAR PRADA,SADE-0000211,8200000,2009-05-19
1000000212,076-2007-000212,AIE212,2007,RODRIGO VALENTINA TORRES CARDENAS,SADE-0000212,12300000,2007-08-02
1000000213,076-2007-000213,AIF213,2007,BEATRIZ OSCAR TORRES RAMIREZ,SADE-0000213,13400000,2007-07-15
1000000214,076-2016-000214,AIG214,2016,ALEXANDRA CARLOS PRADA CASTILLO,SADE-0000214,5300000,2016-06-20
1000000215,076-2014-000215,AIH215,2014,VALENTINA CLAUDIA DIAZ PRADA,SADE-0000215,3100000,2014-06-23
1000000216,076-2008-000216,AII216,2008,VALENTINA GLORIA RUIZ ACOSTA,SADE-0000216,11700000,2008-08-17
1000000217,076-2015-000217,AIJ217,2015,CATALINA HERNANDO SALAZAR SALAZAR,SADE-0000217,7700000,2015-07-14
1000000218,076-2019-000218,AIK218,2019,NUBIA ALEJANDRO DIAZ CORREA,SADE-0000218,2100000,2019-06-04
1000000219,076-2015-000219,AIL219,2015,ALVARO OSCAR ORTIZ REYES,SADE-0000219,4300000,2015-06-03
1000000220,076-2016-000220,AIM220,2016,CLAUDIA RODRIGO CARDENAS RESTREPO,SADE-0000220,3800000,2016-10-23
